Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0LJDFZohBgWOMvXQw0cc9W,"07Asx51VtMw5kbNXKrpZlq","Cigarettes On Patios","Cigarettes On Patios","BabyJake",2019-06-07,207813,65,spotify:user:,1970-01-01T00:00:00Z,"pop rap",0.752,0.712,4,-5.467,0,0.0474,0.256,0,0.136,0.588,139.999,4
5NORWMFC27ywGSZxi8uquP,"16oZKvXb6WkQlVAjwo2Wbg","Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,78,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,pop,stomp and holler",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
3f9Mzvd3URfbbIJBX4pz9Z,"6USv9qhCn6zfxlBQIYJ9qs,1rHOtdmGNr5vcYNw5v7QGC","Phone Numbers","Phone Numbers","Dominic Fike,Kenny Beats",2019-07-04,146826,71,spotify:user:,1970-01-01T00:00:00Z,"alternative pop rock,pop,trap,underground hip hop",0.884,0.539,1,-6.389,0,0.208,0.239,0,0.0805,0.776,85.008,4
3gbBpTdY8lnQwqxNCcf795,"7EQ0qTo7fWT7DPxmxtSYEc","Pompeii","Bad Blood","Bastille",2013-01-01,214147,73,spotify:user:,1970-01-01T00:00:00Z,"metropopolis,modern rock,pop,pop rock,tropical house",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
3eng6TJxpqjvDkxRpnfnhB,"2jnIB6XdLvnJUeNTy5A0J2","Big Plans","Big Plans","Why Don't We",2019-01-17,179929,63,spotify:user:,1970-01-01T00:00:00Z,"boy band,dance pop,pop,post-teen pop",0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,4
02VBYrHfVwfEWXk5DXyf0T,"0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,6PvvGcCY2XtUcSRld1Wilr","Leave The Door Open","An Evening With Silk Sonic","Bruno Mars,Anderson .Paak,Silk Sonic",2021-11-11,242096,83,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,escape room,neo soul",0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
0Rx0DJI556Ix5gBny6EWmn,"4GvEc3ANtPPjt1ZJllr5Zl","Paradise","Soul Searching","Bazzi",2019-08-09,169038,73,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4
4l5PryvVh8ofU9vMDnv4qA,"5i4BaWy8YIun1u3RXwmlWn","5 Shots","she's no angel","gianni & kyle",2018-11-01,181709,59,spotify:user:,1970-01-01T00:00:00Z,"indie pop rap,pop,pop rap",0.919,0.45,1,-5.737,1,0.0689,0.135,0,0.0577,0.448,91.975,4
2Rtj1B24RTIrIg2TMQ8WS9,"1sdnOXw9epamqw5ERPK8T5,6gMyLqdBGrHjR8TdCutVIP,4uSOt6gWpmhpmzGtfF9KWs","Mona Lisa","Mona Lisa","Valntn,Peter Fenn,Tray Haggerty",2019-07-10,157019,53,spotify:user:,1970-01-01T00:00:00Z,"chill r&b,la pop",0.886,0.59,1,-5.14,0,0.0515,0.0493,0,0.28,0.787,119.934,4
4h4QlmocP3IuwYEj2j14p8,"7qmpXeNz2ojlMl2EEfkeLs,38PzLQE4GW8o7A18oGhi0x","Sunroof","Sunroof","Nicky Youre,dazy",2021-12-03,163025,87,spotify:user:,1970-01-01T00:00:00Z,"pop",0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,4
