Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
12cZWGf5ZgLcKubEW9mx5q,"6fOMl44jA4Sp5b9PpYCkzz","HOPE","HOPE","NF",2023-02-16,264473,83,spotify:user:,1970-01-01T00:00:00Z,"hip hop,pop rap,rap",0.546,0.787,0,-4.023,0,0.212,0.396,0,0.0619,0.497,100.559,3
792HwhrdO3ErRKL5yRe4Ge,"0eDvMgVFoNV3TpwtrVCoTj","Invincible","Meet The Woo 2","Pop Smoke",2020-02-07,127546,79,spotify:user:,1970-01-01T00:00:00Z,"brooklyn drill",0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,4
5BbdKBZO0TH0GhfxUfyhL9,"5f7VJjfbwm532GiveGC0ZK","Freestyle","Too Hard","Lil Baby",2017-12-01,162053,85,spotify:user:,1970-01-01T00:00:00Z,"atl hip hop,atl trap,rap,trap",0.877,0.517,2,-5.426,0,0.0706,0.217,0,0.143,0.255,119.996,4
7KXjTSCq5nL1LoYtL7XAwS,"2YZyLoL8N0Wb9xBt1NhZWg","HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,85,spotify:user:,1970-01-01T00:00:00Z,"conscious hip hop,hip hop,rap,west coast rap",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
3PYx9Wte3jwb48V0wArMOy,"4xRYI6VqpkE3UwrDrAZL8L","Keanu Reeves","Confessions of a Dangerous Mind","Logic",2019-05-10,225920,64,spotify:user:,1970-01-01T00:00:00Z,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.712,0.891,2,-6.457,1,0.24,0.0557,0,0.134,0.799,170.13,4
4Li2WHPkuyCdtmokzW2007,"3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x","Ni**as In Paris","Watch The Throne (Deluxe)","JAY-Z,Kanye West",2011-08-08,219333,84,spotify:user:,1970-01-01T00:00:00Z,"east coast hip hop,hip hop,rap,chicago rap",0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
0vjeOZ3Ft5jvAi9SBFJm1j,"0iEtIxbK0KxaSlF7G42ZOp,1RyvyyTE3xzB2ZywiAwp0i,7bXgB6jMjp9ATFy66eO08Z","Superhero (Heroes & Villains) [with Future & Chris Brown]","HEROES & VILLAINS","Metro Boomin,Future,Chris Brown",2022-12-02,182666,90,spotify:user:,1970-01-01T00:00:00Z,"rap,atl hip hop,southern hip hop,trap,dance pop,r&b",0.526,0.606,5,-5.3,0,0.259,0.152,0.00000236,0.194,0.492,116.622,4
65ES1qwOB577ZnTkizMXJJ,"5he5w2lnU9x7JFhnwcekXX,2YZyLoL8N0Wb9xBt1NhZWg","HUMBLE. - SKRILLEX REMIX","HUMBLE. (SKRILLEX REMIX)","Skrillex,Kendrick Lamar",2017-09-29,156800,71,spotify:user:,1970-01-01T00:00:00Z,"brostep,complextro,edm,electro,conscious hip hop,hip hop,rap,west coast rap",0.901,0.934,11,-2.345,1,0.273,0.00794,0.0000768,0.194,0.868,150.037,4
2NV0mpU5YbyJXydzYPgw5O,"0ErzCpIMyLcjPiwT4elrtZ,55Aa2cqylxrFIXC767Z865","AIN'T GONNA ANSWER","AIN'T GONNA ANSWER","NLE Choppa,Lil Wayne",2023-03-23,187453,74,spotify:user:,1970-01-01T00:00:00Z,"memphis hip hop,hip hop,new orleans rap,pop rap,rap,trap",0.879,0.875,10,-1.868,0,0.18,0.0808,0,0.327,0.763,95.021,4
1N8moY6H0eThviK71VhTzY,"0JOxt5QOwq0czoJxvSc5hS,02kJSzxNuaWGqwubyUba0Z","My Year","GASHI","GASHI,G-Eazy",2019-09-20,190344,49,spotify:user:,1970-01-01T00:00:00Z,"pop rap,trap soul,hip hop,indie pop rap,oakland hip hop,pop,rap",0.84,0.811,11,-3.243,0,0.0498,0.213,0,0.258,0.71,145.025,4
52NGJPcLUzQq5w7uv4e5gf,"4Gso3d4CscCijv0lmajZWs,1uNFoZAHBGtllmzznpCI3s,1RyvyyTE3xzB2ZywiAwp0i","Private Landing (feat. Justin Bieber & Future)","Love Sick","Don Toliver,Justin Bieber,Future",2023-02-24,238253,84,spotify:user:,1970-01-01T00:00:00Z,"rap,trap,canadian pop,pop,atl hip hop,southern hip hop",0.843,0.669,1,-4.105,0,0.0639,0.0846,0.0000128,0.105,0.435,136.979,4
30z4LVkScpeNhwHFIB8Ewa,"6C1ohJrd5VydigQtaGy5Wa","I Love","I Love","Joyner Lucas",2018-10-17,210197,65,spotify:user:,1970-01-01T00:00:00Z,"boston hip hop,hip hop,pop rap,rap",0.671,0.565,11,-7.401,0,0.16,0.274,0.0000651,0.37,0.561,150.014,4
1bDbXMyjaUIooNwFE9wn0N,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft","Rich Flex","Her Loss","Drake,21 Savage",2022-11-04,239359,91,spotify:user:,1970-01-01T00:00:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop",0.561,0.52,11,-9.342,0,0.244,0.0503,0.00000186,0.355,0.424,153.15,3
2gwkD6igEhQbDQegRCcdoB,"4r63FhuTkUYltbVAg5TQnk","Suge","Baby On Baby","DaBaby",2019-03-01,163320,71,spotify:user:,1970-01-01T00:00:00Z,"north carolina hip hop,rap,trap",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
6HZILIRieu8S0iqY8kIKhj,"2YZyLoL8N0Wb9xBt1NhZWg","DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,80,spotify:user:,1970-01-01T00:00:00Z,"conscious hip hop,hip hop,rap,west coast rap",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
5mqzhMuUpvnMfwNz6iepmO,"5fMUXHkw8R8eOP2RNVYEZX,6vXTefBL93Dj5IqAWq6OTv,3wyVrVrFCkukjdVIdirGVY,1CO6e7WRJvSFenmQO8n64C","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]","Diplo,French Montana,Lil Pump,Zhavia",2018-05-15,181720,66,spotify:user:,1970-01-01T00:00:00Z,"edm,electro house,house,moombahton,pop,pop dance,tropical house,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,emo rap,miami hip hop,vapor trap,post-teen pop",0.618,0.845,2,0.175,1,0.132,0.114,0,0.415,0.486,171.921,4
3zmduBNsQ6BPDTZAkXzG5K,"5K6YsAKuRtcczPgxAdzc3B,4e0Z9S1BolFuwPDnA8wOjF,3OMd4I5GX8Hz51SLS0C2Fm","Can't Be Touched (feat. Mr. Magic & Trouble)","Body Head Bangerz, Vol. 1","Roy Jones Jr.,Mr Magic,Trouble",2004-10-26,214400,73,spotify:user:,1970-01-01T00:00:00Z,"southern hip hop",0.642,0.777,4,-4.809,0,0.094,0.00323,0,0.227,0.413,96.986,4
39Yp9wwQiSRIDOvrVg7mbk,"2PaZWGu5T5nHjY2xxAkFsT,0Y5tJX1MQlPlqiwlOH1tJY,0fA0VVWsXO9YnASrzqfmYu","THE SCOTTS","THE SCOTTS","THE SCOTTS,Travis Scott,Kid Cudi",2020-04-24,165977,75,spotify:user:,1970-01-01T00:00:00Z,"rap,slap house,hip hop,ohio hip hop",0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,4
7xQAfvXzm3AkraOtGPWIZg,"246dkjvS1zLTtiykXe5h60","Wow.","Hollywood's Bleeding","Post Malone",2019-09-06,149546,82,spotify:user:,1970-01-01T00:00:00Z,"dfw rap,melodic rap,rap",0.829,0.539,11,-7.359,0,0.208,0.136,0.00000178,0.103,0.388,99.96,4
2SL6oP2YAEQbqsrkOzRGO4,"7dGJo4pcD2V6oG8kP0tJRR","Venom - Music From The Motion Picture","Kamikaze","Eminem",2018-08-31,269554,75,spotify:user:,1970-01-01T00:00:00Z,"detroit hip hop,hip hop,rap",0.749,0.794,0,-5.063,1,0.064,0.0193,0,0.543,0.46,135.959,4
