Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
35r28RDot7nPE7y9K9H7l0,"246dkjvS1zLTtiykXe5h60","Feeling Whitney","Stoney (Deluxe)","Post Malone",2016-12-09,257266,75,spotify:user:,1970-01-01T00:00:00Z,"dfw rap,melodic rap,rap",0.412,0.227,0,-12.696,1,0.0359,0.787,0.00000469,0.282,0.226,80.111,4
5DHQKZCOZhGNTbYBCekWx0,"6fOMl44jA4Sp5b9PpYCkzz","Paralyzed","Mansion","NF",2015-03-31,270453,73,spotify:user:,1970-01-01T00:00:00Z,"hip hop,pop rap,rap",0.51,0.643,0,-6.602,1,0.0485,0.214,0.00000322,0.101,0.0397,130.081,4
4ZLzoOkj0MPWrTLvooIuaa,"4qIVPF0s71ZYW3qzhu5GkF,5fSVkkuijRIpxuvSqysYiP","Get You The Moon (feat. Snøw)","Get You The Moon (feat. Snøw)","Kina,Snøw",2018-10-08,179080,79,spotify:user:,1970-01-01T00:00:00Z,"sad lo-fi,sad rap",0.498,0.235,1,-16.541,0,0.188,0.72,0,0.144,0.0895,118.917,4
06JvOZ39sK8D8SqiqfaxDU,"5K4W6rqBFWDnAN6FQUkS6x,15UsOTVnJzReFVN1VCnxy4","True Love","True Love","Kanye West,XXXTENTACION",2022-05-27,148571,77,spotify:user:,1970-01-01T00:00:00Z,"chicago rap,rap,emo rap,miami hip hop",0.712,0.861,5,-5.487,0,0.25,0.0182,0.00000609,0.511,0.388,84.042,4
5dOxHHMOFAbG3VH23t0xNm,"4MCBfE4596Uoi2O4DtmEMz","Righteous","Legends Never Die","Juice WRLD",2020-07-10,242180,74,spotify:user:,1970-01-01T00:00:00Z,"chicago rap,melodic rap",0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,4
2aJnyNu4PQxQ2lyj5boiMG,"7tYKF4w9nC0nq9CsPZTHyP","I Hate U","SOS","SZA",2022-12-09,173906,78,spotify:user:,1970-01-01T00:00:00Z,"pop,r&b",0.533,0.417,7,-8.665,0,0.148,0.514,0,0.114,0.376,106.534,5
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,83,spotify:user:,1970-01-01T00:00:00Z,"emo rap,miami hip hop",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
2qxmye6gAegTMjLKEBoR3d,"5IH6FPUwQTxPSXurCrcIov","Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,85,spotify:user:,1970-01-01T00:00:00Z,"alt z,electropop,pop",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
7qEHsqek33rTcFNT9PFqLf,"4GNC7GD6oZMSxPGyXy4MNB","Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,88,spotify:user:,1970-01-01T00:00:00Z,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
4rHIfYRQw6ittRQXAlurk0,"4fxd5Ee7UefO4CUXgwJ7IP","Favorite Mistake","TAKE TIME","Giveon",2020-03-27,172907,68,spotify:user:,1970-01-01T00:00:00Z,"pop,r&b",0.535,0.409,7,-9.517,0,0.0855,0.777,0,0.129,0.138,170.123,4
1KVczjazCcCCgM3gXXUl47,"5CiGnKThu5ctn9pBxv7DGa,4MCBfE4596Uoi2O4DtmEMz,6eYFryfcEu3QSq59D62wZQ","Roses (with Juice WRLD feat. Brendon Urie)","FRIENDS KEEP SECRETS","benny blanco,Juice WRLD,Brendon Urie",2018-12-07,223542,67,spotify:user:,1970-01-01T00:00:00Z,"dance pop,edm,electropop,pop,pop rap,chicago rap,melodic rap",0.612,0.601,8,-7.089,1,0.164,0.168,0,0.117,0.525,147.018,4
1kFlDnWmBTvCBxxeGDpIdp,"39G9Mcs99KhOEtVuthwztS","7 Years (Remix)","7 Years (Remix)","Sik World",2016-06-04,134197,68,spotify:user:,1970-01-01T00:00:00Z,"pop rap,rap,sad rap",0.811,0.609,10,-8.376,1,0.0996,0.227,0,0.102,0.439,120.071,4
3qEg6xYffvuvwpq4U6FRrK,"6fOMl44jA4Sp5b9PpYCkzz,2g6nfqSFo2cPVrafnW85jm","Lost In The Moment","Therapy Session","NF,Andreas Moss",2016-04-22,242680,67,spotify:user:,1970-01-01T00:00:00Z,"hip hop,pop rap,rap,scandipop",0.511,0.629,0,-7.755,1,0.151,0.41,0,0.162,0.0442,129.924,4
5wvtHXLPdNrLBNIta50PeV,"6YxrfNCKBcQlbITpmDLErL","Need Somebody (Acoustic)","Need Somebody (Acoustic)","Xuitcasecity",2017-12-15,192333,51,spotify:user:,1970-01-01T00:00:00Z,"indie pop rap,pop edm,pop rap,sad rap",0.417,0.498,9,-6.077,1,0.0845,0.838,0,0.0748,0.37,179.801,4
75ZvA4QfFiZvzhj2xkaWAh,"246dkjvS1zLTtiykXe5h60","I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,81,spotify:user:,1970-01-01T00:00:00Z,"dfw rap,melodic rap,rap",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,4
285pBltuF7vW8TeWk8hdRR,"4MCBfE4596Uoi2O4DtmEMz","Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,85,spotify:user:,1970-01-01T00:00:00Z,"chicago rap,melodic rap",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
5WtfUKzXircvW8l5aaVZWT,"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","What A Time (feat. Niall Horan)","Inner Monologue Part 1","Julia Michaels,Niall Horan",2019-01-24,173306,79,spotify:user:,1970-01-01T00:00:00Z,"alt z,dance pop,electropop,pop,post-teen pop",0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
5tz69p7tJuGPeMGwNTxYuV,"4xRYI6VqpkE3UwrDrAZL8L,2wUjUUtkb5lvLKcGKsKqsR,6LuN9FCkKOj5PcnpouEgny","1-800-273-8255","Everybody","Logic,Alessia Cara,Khalid",2017-05-05,250173,76,spotify:user:,1970-01-01T00:00:00Z,"conscious hip hop,dmv rap,hip hop,pop rap,rap,canadian contemporary r&b,canadian pop,dance pop,pop,post-teen pop,pop r&b",0.62,0.574,5,-7.788,0,0.0479,0.569,0,0.19,0.357,100.023,4
4UKCKdYiLN6IMA5ZESUTL7,"15UsOTVnJzReFVN1VCnxy4","the remedy for a broken heart (why am I so in love)","?","XXXTENTACION",2018-03-16,160184,78,spotify:user:,1970-01-01T00:00:00Z,"emo rap,miami hip hop",0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,4
5DqdesEfbRyOlSS3Tf6c29,"4rTv3Ejc7hKMtmoBOK1B4T","It's You","YOU","Ali Gatie",2019-11-08,212606,79,spotify:user:,1970-01-01T00:00:00Z,"canadian hip hop,pop",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
50OPOdJbRx9iCJXGultmUf,"0inkJpjAKDnQOv2VHBCU0Z,5EjK7aUvQ9LMNqc2zXiWLS","Alone","Alone","SadBoyProlific,Ivri",2018-11-10,160061,67,spotify:user:,1970-01-01T00:00:00Z,"sad lo-fi,sad rap",0.874,0.358,9,-13.642,1,0.459,0.494,0.00196,0.336,0.437,119.091,4
3by8IfnW9dZ2t4pZw1WVxz,"6S2OmqARrzebs0tKUEyXyp","Stone Cold","Confident","Demi Lovato",2015-01-01,191307,68,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,post-teen pop",0.419,0.453,8,-7.685,1,0.0437,0.539,0,0.0971,0.356,140.327,3
0NlGoUyOJSuSHmngoibVAs,"4BxCuXFJrSWGi1KHcVqaU4","All I Want","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,305746,80,spotify:user:,1970-01-01T00:00:00Z,"irish pop,pop,pop rock",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
52okn5MNA47tk87PeZJLEL,"6fOMl44jA4Sp5b9PpYCkzz","Let You Down","Perception","NF",2017-10-06,212120,81,spotify:user:,1970-01-01T00:00:00Z,"hip hop,pop rap,rap",0.662,0.714,5,-5.68,0,0.121,0.312,0,0.179,0.464,147.997,4
3bne7Qit5AbHkX6kWDItYP,"4K9aclpXgCPNFGEqRlFPal","In My Head","In My Head","Peter Manos",2018-05-24,214533,62,spotify:user:,1970-01-01T00:00:00Z,"",0.499,0.181,9,-15.359,0,0.0429,0.745,0.00123,0.106,0.0747,111.956,4
6N22FZs2ZhPBYi3b9XPajV,"2feDdbD5araYcm6JhFHHw7","Still Don't Know My Name","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,153294,78,spotify:user:,1970-01-01T00:00:00Z,"indie poptimism,pop",0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,1
64GRDrL1efgXclrhVCeuA0,"2wY79sveU1sp5g7SokKOiI,5y2Xq6xcjJb2jVM54GHK3t","Lay Me Down","In The Lonely Hour (Drowning Shadows Edition)","Sam Smith,John Legend",2015-11-06,219535,72,spotify:user:,1970-01-01T00:00:00Z,"pop,uk pop,neo mellow,neo soul,pop soul,r&b,urban contemporary",0.468,0.19,4,-11.138,1,0.0373,0.919,0,0.107,0.326,125.319,4
5GpYt1p4z2EPVKv5t7XDof,"164Uj4eKjl6zTBKfJLFKKK","this is what sadness feels like","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,191830,70,spotify:user:,1970-01-01T00:00:00Z,"modern indie pop",0.483,0.321,10,-10.401,0,0.0719,0.82,0.000107,0.128,0.148,141.28,3
