Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7cZxQ0m9bK0TLsaUD2UoQd,"4YpT7UESRRyut4Ftzxynx8","Midnight Fairytale","Midnight Fairytale","Tanner King Trio",2023-02-03,129414,58,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.502,0.168,0,-15.757,1,0.0355,0.969,0.971,0.111,0.158,123.575,4
3MDq3Y1Me06yoYQOfjNWcH,"7z19cN47vHnay3CoShIp1b","Lonely as a Cloud","Lonely as a Cloud","South North",2022-12-02,167071,60,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.27,0.188,8,-17.253,1,0.0404,0.978,0.97,0.109,0.085,72.774,3
5lk6Ro1xDJJyKAqjWd78JG,"4zNremLzDLV4qylYjP0nR2","We've Been Through This Before","We've Been Through This Before","Tore Lundblad",2023-01-13,145028,57,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.547,0.193,5,-15.336,0,0.0386,0.953,0.735,0.191,0.221,129.09,3
45uUsc9TX693ldNPmqoa8d,"79XAL1YXeOMQ2ksDQjvFa7","Skylark","Skylark","The Headliner Trio",2021-11-12,189932,47,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.531,0.211,5,-15.854,1,0.0361,0.928,0.797,0.0939,0.206,63.051,4
5QTHfZ4IKRREnuK7LKwoZS,"0eg5Y6qtyXmuDqBqEHbJ6L","The Very Thought Of You","The Very Thought Of You","Rudy Winston",2022-10-21,244579,57,spotify:user:,1970-01-01T00:00:00Z,"",0.515,0.132,5,-18.161,0,0.0372,0.962,0.939,0.109,0.143,48.731,4
5wQ0V1GJByFSa74FqYBADD,"2gC8FqAcOqWElBDNVIHbRm","To See a Flower","To See a Flower","Holborns",2021-09-03,203603,45,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.542,0.0817,0,-19.201,1,0.0384,0.93,0.235,0.108,0.288,78.272,4
1D1E8UfZDUk0FZ2ZhlW1OF,"3vnHJt1VixhKHJ0b8IhwIy","Cabin In The Sky","Cabin In The Sky","Andy Luma Trio",2022-12-23,204300,59,spotify:user:,1970-01-01T00:00:00Z,"",0.483,0.167,5,-14.758,1,0.0341,0.936,0.9,0.0863,0.169,96.578,4
26UQyr3L71oAnXQIJf18gr,"3HwmLSofJhnA1bdPIREqAj","Home town","Home town","Cole Peers trio",2023-01-13,178250,65,spotify:user:,1970-01-01T00:00:00Z,"",0.255,0.0745,0,-19.79,0,0.0395,0.863,0.128,0.133,0.179,75.936,4
0kbWuiN6FdHJXu1xCBVxvW,"6ll13Y20dnndy8mAuF9tgk","Remembrance","Remembrance","Grayville Trio",2022-08-19,190193,51,spotify:user:,1970-01-01T00:00:00Z,"christmas instrumental",0.418,0.153,8,-19.085,1,0.0352,0.956,0.903,0.096,0.0627,127.81,4
6pGvG8RMWD19UTLDPf5Gei,"6P9V4I7JlXTWt4llgXpiPO","Things To Look Forward To","Things To Look Forward To","Trio Del Norte",2023-01-29,245681,59,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.513,0.259,2,-12.537,1,0.0315,0.918,0.807,0.107,0.107,77.88,3
19LMucy1MN241ShsoCUKia,"4NopJ2j5J608OXktrn5IAM","I Promise to Love","I Promise to Love","Gillian Spencer Trio",2022-08-26,172842,50,spotify:user:,1970-01-01T00:00:00Z,"",0.563,0.148,8,-18.088,1,0.0398,0.873,0.772,0.101,0.1,122.858,4
7ojUoFuu49TkZ8mvMEndt0,"4ICOVaHa5cPigwgMb9opB5","Monk's Mood","Monk's Mood","Billy Hicks Quartet",2022-01-14,300473,45,spotify:user:,1970-01-01T00:00:00Z,"",0.374,0.0765,5,-19.56,1,0.0341,0.989,0.954,0.165,0.11,105.41,4
20rIiJfktbLUX82tPwVBq6,"6dLMos1sm6vC0KWbloaCXb","You're My Nemo","You're My Nemo","Chris Memento",2022-10-28,238354,46,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.392,0.175,2,-18.768,0,0.0349,0.986,0.866,0.125,0.259,107.459,4
5fJgmA4jkcqoJBnLPC3AX7,"6fGGglYJY8D22eJtcjgg8S","Bleak Days","Bleak Days","The City of Birches",2022-12-09,237140,49,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.392,0.162,0,-18.094,1,0.0421,0.979,0.745,0.124,0.189,95.655,4
1LGN3DO6YD61pwb64gQtZx,"10yIBprceJrz7GP0BkENlg","There Goes My Heart","There Goes My Heart","Baxter Williams",2023-01-20,222046,57,spotify:user:,1970-01-01T00:00:00Z,"",0.544,0.203,10,-15.579,1,0.0419,0.946,0.314,0.103,0.251,112.96,4
5QTJAnT7nhRzKAhtIActwk,"51XvvMJ1TNAQpuGnDlwmUT","Tomorrow","Tomorrow","Ray Horne Trio",2022-08-12,269002,49,spotify:user:,1970-01-01T00:00:00Z,"",0.557,0.16,10,-16.4,0,0.0401,0.96,0.886,0.0926,0.0577,123.398,4
34jngIAweykNyuwP52VCaQ,"2ao6PMtoUQBZfUGTP5IVAA","Old Person Eyes","Old Person Eyes","Moonside Trio",2022-05-22,219873,45,spotify:user:,1970-01-01T00:00:00Z,"",0.406,0.0835,4,-21.4,1,0.0322,0.965,0.156,0.209,0.109,90.519,4
4GlTpFacX7Vgz0J1vMnKki,"4SL7KeObcdWbpCRzEKlhCJ","That's When We'll Part","That's When We'll Part","Irvin Smith Group",2022-12-02,159572,49,spotify:user:,1970-01-01T00:00:00Z,"",0.386,0.164,9,-16.069,0,0.0334,0.911,0.319,0.0847,0.0672,81.164,4
2IP1MFL8G8A5hIOIXhnaz1,"1PxVNcTPbAGfnt4i21wDzc","Meet Me In Mashatu","Meet Me In Mashatu","Mabon Clarke Quartet",2023-01-27,202115,49,spotify:user:,1970-01-01T00:00:00Z,"background jazz",0.59,0.135,5,-16.099,1,0.0455,0.973,0.839,0.112,0.359,120.849,4
0A3gD0jTXt9p3Nnc8cCUsI,"2UIgtE5XCEu7BYtjaY8wsh","The Boy Next Door","The Boy Next Door","Felix McCoy Quartet",2022-10-21,190979,47,spotify:user:,1970-01-01T00:00:00Z,"",0.342,0.202,10,-16.265,1,0.0415,0.947,0.67,0.119,0.292,56.378,3
