Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0SGBSwX49QWTGiXMu39mUz,"3P2GZ3OyREqVPn8YISLrGH","Stillness","Stillness","Fraser Jaspal",2023-03-03,142008,50,spotify:user:,2023-04-03T13:27:55Z,"",0.52,0.00486,2,-30.233,1,0.0457,0.996,0.95,0.111,0.561,75.342,4
7jUgBIVfc6C2YfFqFmETxz,"4Gew7TmeuvKFbHl0PttGaz","Air from Air","Air from Air","Yasuo Zen",2023-03-03,199428,65,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.538,0.0101,6,-29.191,1,0.0363,0.995,0.942,0.088,0.481,68.322,4
7tPR6ChfHJvkYPK0Zy5zkK,"4CqaNfV0FxkPOMcQAiyw71","Us","Life Stories","R. York",2023-01-01,108730,56,spotify:user:,2023-04-03T13:27:55Z,"",0.428,0.0064,7,-34.581,1,0.0488,0.995,0.95,0.0838,0.0934,43.385,4
7JuANIIOksqHRFXgE8tEld,"2Nk5XPyODZYGkTpGPQel2Q","Lisser","Lisser","Miran",2023-03-03,125041,64,spotify:user:,2023-04-03T13:27:55Z,"",0.325,0.0615,4,-27.534,1,0.0352,0.984,0.923,0.082,0.312,94.597,3
6rWa5bTCCZQIv0qKekqhnC,"2aCjyxAv55DqcgEBYNHS2l","What It Should Look Like","What It Should Look Like","Tom Leaman",2022-07-29,122245,46,spotify:user:,2023-04-03T13:27:55Z,"",0.429,0.0341,7,-26.623,1,0.0395,0.995,0.954,0.118,0.421,107.798,3
5Wp5IP3REfgDJnxKeUOfb3,"41P9wQe7ndXNRH4dMmeWXi","Con Cariño","Con Cariño","Josephe Burke",2022-10-21,146679,61,spotify:user:,2023-04-03T13:27:55Z,"",0.493,0.0372,1,-25.785,1,0.0459,0.995,0.925,0.122,0.348,62.039,3
6KMs0FhZnbJZINvhguzhpe,"1KRgUQR76UU7X6rxxaDbyd","Amber","Come Fall","Kepus",2022-09-17,123304,49,spotify:user:,2023-04-03T13:27:55Z,"",0.358,0.0226,11,-29.195,1,0.0623,0.994,0.894,0.0991,0.401,86.595,4
4uoJsS8jQmsHmdoORGzxh0,"0ggD5NH7vsGHwcBWHnyVq4","Emerald Enlightenment","Emerald Enlightenment","Aramis Morel",2023-01-13,99567,68,spotify:user:,2023-04-03T13:27:55Z,"",0.412,0.0289,10,-32.394,1,0.0517,0.996,0.958,0.0895,0.27,151.381,3
6h0V5bM7dDmwvrrmqHVlPE,"1nrQ489GYy77LqrmBOmtfh","Nuxe","lachlan","Valla",2022-12-11,138576,47,spotify:user:,2023-04-03T13:27:55Z,"",0.445,0.0199,5,-28.408,1,0.0418,0.995,0.938,0.111,0.272,170.355,4
438tqm4eZnhsomXZPu2s2T,"0jXPRVmiApahArJiibipfH","Aftonstjärna","Aftonstjärna","Christian Peterson-Bergling",2023-03-24,177624,39,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.378,0.0665,3,-25.746,1,0.0333,0.988,0.963,0.111,0.229,112.844,4
