Track Name,Artist Name(s),Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Chamber Of Reflection,Mac DeMarco,0.537,0.558,11,-8.678,0.0929,0.263,0.91,0.102,0.505,131.037
Thinking 'Bout You,"Medusa,Aaron Holden",0.77,0.697,11,-4.388,0.0841,0.143,0,0.278,0.484,122.869
AGAIN,D-BLOCH,0.758,0.408,2,-8.836,0.137,0.0513,0,0.226,0.388,149.999
Man Like That,Medusa,0.561,0.354,4,-8.362,0.427,0.268,0.0000103,0.144,0.293,169.191
piscean,Wyte Tyson,0.741,0.48,1,-10.818,0.0975,0.909,0.00000508,0.06,0.151,123.703
Alone with You,Medusa,0.804,0.337,3,-9.592,0.117,0.503,0.146,0.105,0.537,104.974
I Don't Mind (Under the Covers),"Medusa,Q Smth",0.789,0.522,11,-10.203,0.112,0.178,0.0000134,0.0861,0.346,107.064
Why,"Medusa,Lands",0.331,0.311,4,-9.58,0.0472,0.439,0,0.339,0.196,82.574
Dysphoria,"Lxgn,LessThanFriends,KID Tye",0.593,0.578,10,-7.637,0.0243,0.238,0.000116,0.0976,0.214,99.964
coca cola - adwuu remix,"Mitty,adwuu",0.362,0.86,3,-4.95,0.132,0.00419,0.00011,0.127,0.33,182.173
Sick Of,Herman,0.799,0.489,6,-11.047,0.256,0.23,0,0.135,0.368,88.518
you're just garbage,starchild,0.652,0.512,0,-13.73,0.0564,0.418,0.0132,0.5,0.584,92.465
poor thing,"FøRD,Weepings",0.604,0.534,11,-10.518,0.0371,0.362,0,0.115,0.635,138.008
Smile (with The Weeknd),"Juice WRLD,The Weeknd",0.694,0.685,6,-6.535,0.133,0.224,0,0.124,0.306,158.831
NOMAD,Kevin Kazi,0.559,0.678,8,-9.076,0.058,0.00036,0,0.124,0.142,199.9
Call Me When You're Gone,treblebeach,0.581,0.698,9,-6.747,0.0283,0.0001,0.0265,0.611,0.211,130.035
GLITTER.,Jonah Michael,0.512,0.641,4,-7.602,0.041,0.223,0,0.223,0.246,145.008
Drugstar girl - Remix,"Rocstarpatty,kysdnny",0.457,0.633,6,-6.791,0.36,0.0187,0,0.112,0.244,170.878
Call me,90sFlav,0.748,0.265,8,-12.074,0.229,0.952,0.917,0.0866,0.14,77.009
Expired Benzos,Hills to Height,0.404,0.569,9,-10.248,0.0323,0.0000241,0.322,0.14,0.347,94.95
Overdose,Lomaxx,0.778,0.486,0,-14.841,0.0529,0.026,0.0799,0.115,0.195,124.995
Dying To Live,Ozito,0.642,0.461,8,-9.548,0.0503,0.00166,0,0.159,0.409,130.107
in a panic,FøRD,0.72,0.473,2,-12.796,0.458,0.0197,0,0.32,0.509,173.971
Dead,High.,0.165,0.769,4,-7.201,0.051,0.0307,0.135,0.109,0.111,156.328
vice city,XXXTENTACION,0.853,0.467,9,-6.843,0.195,0.00596,0.00171,0.203,0.329,87.023
"I spoke to the devil in miami, he said everything would be fine",XXXTENTACION,0.348,0.197,2,-13.646,0.0374,0.979,0.00294,0.189,0.215,76.479
snowfall,"Øneheart,reidenshi",0.466,0.0918,10,-26.813,0.0269,0.929,0.803,0.439,0.0841,95.014
Stay With Me,Jaisean,0.719,0.302,6,-13.461,0.0591,0.852,0.186,0.0989,0.163,81.996
Should Have Stayed (Interlude),Jaisean,0.823,0.277,0,-11.94,0.0381,0.602,0.0079,0.238,0.588,79.505
Safe Place,Jaisean,0.905,0.264,10,-8.237,0.0925,0.314,0.000792,0.11,0.64,90.052
Wait For Me,Jaisean,0.757,0.386,9,-9.623,0.092,0.716,0.0151,0.138,0.42,80.021
The Unknown,Jaisean,0.757,0.334,10,-7.758,0.0931,0.505,0.0985,0.118,0.278,80.029
I'll Be Fine,Jaisean,0.826,0.645,11,-9.073,0.188,0.675,0.0000165,0.109,0.553,88.999
Granted,Jaisean,0.893,0.254,2,-14.005,0.0789,0.715,0.0000345,0.121,0.698,115.04
All Is Fine,Yamski,0.621,0.429,11,-10.116,0.0496,0.469,0.0253,0.0765,0.115,75.981
the right one,Christina Trocchio,0.785,0.465,1,-5.854,0.0375,0.0672,0.00000411,0.114,0.249,137.978
venmo,Christina Trocchio,0.668,0.507,11,-8.036,0.105,0.216,0,0.105,0.239,140.037
can't be saved,Christina Trocchio,0.665,0.596,6,-4.689,0.0671,0.331,0,0.108,0.351,119.879
I don't.,Christina Trocchio,0.293,0.34,7,-10.306,0.0441,0.623,0.00000721,0.0961,0.365,80.682
Nothing Left to Lose,Christina Trocchio,0.531,0.645,9,-6.984,0.0384,0.0781,0.00642,0.171,0.379,89.951
winter song,Karin Ann,0.408,0.245,0,-8.891,0.0357,0.63,0,0.127,0.0559,111.916
almost 20,Karin Ann,0.67,0.762,1,-3.112,0.0374,0.0585,0,0.0742,0.961,107.018
We Talk,Johann TM,0.708,0.841,8,-6.432,0.0506,0.271,0.0000259,0.0981,0.582,134.936
Bored In Brooklyn,Veil,0.427,0.682,8,-12.058,0.0445,0.636,0.613,0.0984,0.445,165.25
