Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3zkWCteF82vJwv0hRLba76,"7n2wHs1TKAczGzO7Dd2rGr","Stitches","Handwritten","Shawn Mendes",2015-04-14,206880,79,spotify:user:,2023-01-27T11:00:00Z,"canadian pop,dance pop,pop,viral pop",0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,4
7xoUc6faLbCqZO6fQEYprd,"66CXWjxzNUsdJxJ2JdwvnR","One Last Time","My Everything (Deluxe)","Ariana Grande",2014-08-25,197266,82,spotify:user:,2023-01-27T11:00:00Z,"dance pop,pop",0.628,0.593,8,-5.036,1,0.0323,0.093,0.00000165,0.096,0.104,125.026,4
2hHLbkatPwOOmrNxTiD41L,"6sFIWsNpZYqfjUpaCgueju","I Really Like You","Emotion (Deluxe Expanded Edition)","Carly Rae Jepsen",2015,204763,69,spotify:user:,2023-01-27T11:00:00Z,"canadian pop,dance pop,electropop,pop,post-teen pop",0.62,0.805,5,-5.538,1,0.0417,0.00564,0.0000915,0.285,0.586,122.062,4
1V6gIisPpYqgFeWbMLI0bA,"6S2OmqARrzebs0tKUEyXyp","Heart Attack","Demi","Demi Lovato",2013-01-01,210840,76,spotify:user:,2023-01-27T11:00:00Z,"dance pop,pop,post-teen pop",0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,4
1kPpge9JDLpcj15qgrPbYX,"07QEuhtrNmmZ0zEcqE9SF6,6sFIWsNpZYqfjUpaCgueju","Good Time","The Midsummer Station","Owl City,Carly Rae Jepsen",2012-01-01,205933,76,spotify:user:,2023-01-27T11:00:00Z,"indietronica,pop rock,canadian pop,dance pop,electropop,pop,post-teen pop",0.56,0.872,3,-4.269,1,0.14,0.0239,0.00000698,0.371,0.682,126.05,4
1yvMUkIOTeUNtNWlWRgANS,"5WUlDfRSoLAfcVSX1WnrxN","Unstoppable","This Is Acting (Deluxe Version)","Sia",2016-10-21,217746,81,spotify:user:,2023-01-27T11:00:00Z,"australian dance,australian pop,dance pop,pop",0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4
0ct6r3EGTcMLPtrXHDvVjc,"1vCWHaC5f2uS3yhpwWbIA6","The Nights","The Days / Nights","Avicii",2014-01-01,176658,84,spotify:user:,2023-01-27T11:00:00Z,"dance pop,edm,pop,pop dance,pop rap",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
07J3p1GchLPc2kAKFgd1TD,"3zDRCqOhJXJfS2YWOEwGMC","Fall So Hard","Fall So Hard","Christopher",2021-03-12,214720,53,spotify:user:,2023-01-27T11:00:00Z,"danish pop",0.572,0.797,0,-4.181,1,0.0497,0.0949,0,0.259,0.598,135.76,4
7JJmb5XwzOO8jgpou264Ml,"7n2wHs1TKAczGzO7Dd2rGr","There's Nothing Holdin' Me Back","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,199440,85,spotify:user:,2023-01-27T11:00:00Z,"canadian pop,dance pop,pop,viral pop",0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,4
6PCUP3dWmTjcTtXY02oFdT,"6eUKZXaKkcviH0Ku9w2n3V","Castle on the Hill","÷ (Deluxe)","Ed Sheeran",2017-03-03,261153,78,spotify:user:,2023-01-27T11:00:00Z,"pop,uk pop",0.461,0.834,2,-4.868,1,0.0989,0.0232,0.0000114,0.14,0.471,135.007,4
5gzvXEGf0XDseXgIlcSSLg,"2kUBwtoPkA9ZoJxcQUtL2P,05OqdicfTgKQVfyEOXfKRa","Bodies","Bodies","CLAUDIA,Irwinandfire",2020-10-30,207731,47,spotify:user:,2023-01-27T11:00:00Z,"",0.691,0.602,1,-8.063,1,0.0497,0.0515,0,0.141,0.715,118.901,4
6rmXhRIemCTPyMYZRDN7Qg,"3e7awlrlDSwF3iM0WBjGMp","Black Magic","Get Weird (Expanded Edition)","Little Mix",2015-11-06,211786,73,spotify:user:,2023-01-27T11:00:00Z,"dance pop,girl group,pop,post-teen pop,talent show,uk pop",0.776,0.875,4,-5.535,1,0.0575,0.0343,0,0.314,0.849,111.988,4
4uQY80TKE1u4ZQZQKHzVEi,"6jJ0s89eD6GaHleKKya26X","The One That Got Away","Teenage Dream","Katy Perry",2010-08-24,227333,76,spotify:user:,2023-01-27T11:00:00Z,"dance pop,pop",0.691,0.795,1,-4.021,0,0.0355,0.000812,0.00000102,0.156,0.876,133.971,4
