Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
60nZcImufyMA1MKQY3dcCH,"2RdwBSPQiwcmiDo9kixcl8","Happy - From Despicable Me 2","G I R L","Pharrell Williams",2014-03-03,232720,79,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"dance pop,hip hop,pop,pop rap",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
5nujrmhLynf4yMoMtj8AQF,"6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk","Levitating (feat. DaBaby)","Future Nostalgia","Dua Lipa,DaBaby",2020-03-27,203064,82,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"dance pop,pop,uk pop,north carolina hip hop,rap,trap",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
6JV2JOEocMgcZxYSZelKcc,"31TPClRtHm23RisEBtV3X7","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","Justin Timberlake",2016-05-06,236001,77,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"dance pop,pop",0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,4
6HMtHNpW6YPi1hrw9tgF8P,"56oDRnqbIiwx4mymNEv7dS","About Damn Time","Special","Lizzo",2022-07-15,191937,78,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.836,0.743,10,-6.305,0,0.0653,0.0974,0,0.335,0.723,108.965,4
4h4QlmocP3IuwYEj2j14p8,"7qmpXeNz2ojlMl2EEfkeLs,38PzLQE4GW8o7A18oGhi0x","Sunroof","Sunroof","Nicky Youre,dazy",2021-12-03,163025,85,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"pop",0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,4
4HlFJV71xXKIGcU3kRyttv,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,80,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"dance pop,neo mellow,pop,pop rock",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
1kPpge9JDLpcj15qgrPbYX,"07QEuhtrNmmZ0zEcqE9SF6,6sFIWsNpZYqfjUpaCgueju","Good Time","The Midsummer Station","Owl City,Carly Rae Jepsen",2012-01-01,205933,76,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"indietronica,pop rock,canadian pop,dance pop,electropop,pop,post-teen pop",0.56,0.872,3,-4.269,1,0.14,0.0239,0.00000698,0.371,0.682,126.05,4
4h9wh7iOZ0GGn8QVp4RAOB,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","OneRepublic",2022-05-13,148485,91,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
4LRPiXqCikLlN15c3yImP7,"6KImCVD70vtIoJWnq6nGn3","As It Was","As It Was","Harry Styles",2022-03-31,167303,90,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
6SKwQghsR8AISlxhcwyA9R,"0du5cEVh5yTK9QJze8zA0C","Marry You","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,230192,76,spotify:user:qon9p4ro7d4cjfj1dsfw99k9z,2023-03-18T01:45:39Z,"dance pop,pop",0.621,0.82,10,-4.865,1,0.0367,0.332,0,0.104,0.452,144.905,4
