Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3RfTeIrWS8LNrfHYwechtt,"7qmpXeNz2ojlMl2EEfkeLs,38PzLQE4GW8o7A18oGhi0x","Sunroof","Sunroof","Nicky Youre,dazy",2021-11-26,163025,7,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"pop",0.768,0.716,10,-5.11,1,0.0404,0.35,0,0.15,0.841,131.43,4
7tYCf3ftc99AQrn2cXYM6d,"4NTnwCK3RqTBH7TFIQrkfL,5a4jgwRzY0q9KopqjYrIe1","Just One Dance","Just One Dance","PLÜM,Tanaë",2020-06-05,212352,47,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch,pop soul",0.668,0.686,9,-5.95,0,0.149,0.26,0.0000303,0.31,0.323,101.936,4
2rmwqU7yzTvzkiaRV53DpT,"56oDRnqbIiwx4mymNEv7dS","2 Be Loved (Am I Ready)","Special","Lizzo",2022-07-15,187107,79,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.721,0.769,7,-4.111,1,0.105,0.0922,0,0.0817,0.915,155.932,4
5LI5DHVYrtMKJQaedaUhTS,"4nx8ehrFiCOmWgebUKshDV","Shine","Shine","Broken Back",2022-09-16,171870,60,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch,tropical house",0.683,0.758,7,-7.29,1,0.163,0.284,0,0.312,0.686,95.956,4
2z7VITS30dBexE91V5QXWv,"4ETSs924pXMzjIeD6E9b4u,2kCO8LXN1usaOPL3iEE28I","Sheesh!","Pacifico (Deluxe)","Surfaces,Tai Verdes",2021-09-03,148846,61,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"bedroom soul,pop,modern indie pop",0.743,0.832,5,-3.937,1,0.0611,0.161,0,0.0925,0.801,149.951,4
2XWV1kIh4nth7BbpUjd371,"31sy2Lzz49t83efKMvk3qV,6lzdsHJPRvkOydWYIQjnQc","Keep On Trying","Keep On Trying","Mizmo,Roundrobin",2022-04-22,190656,56,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch,lo-fi chill",0.622,0.802,7,-6.272,1,0.0725,0.188,0,0.389,0.329,120.012,4
4h9wh7iOZ0GGn8QVp4RAOB,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","OneRepublic",2022-05-13,148485,91,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
7pgy6WlDetgieGS7ABkftw,"6xpq9Jqa99NXeKxCDNbG8S","A l'eau de rose","Nobody on the Moon","Two Muses After",2022-08-02,132586,48,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.658,0.481,8,-8.817,0,0.0837,0.22,0.793,0.247,0.222,104.755,4
2wXfd4Vz6pzJrrPvGhpYz0,"53XhwfbYqKCa1cC15pYq2q","No Time For Toxic People","Mercury - Acts 1 & 2","Imagine Dragons",2022-07-01,207870,63,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"modern rock,rock",0.584,0.742,0,-5.201,1,0.0373,0.00248,0.0000178,0.0813,0.585,75.986,4
19aBGyxQrl8LDnPUyusjRa,"4MgxKih2gf4BgMkPVOfvrn","Sunny Day","Sunny Day","MR TOUT LE MONDE",2021-06-25,192000,65,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.451,0.422,3,-8.477,0,0.0433,0.512,0.162,0.139,0.119,119.998,4
