danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url
0.48,0.193,10,-15.689,0.0648,0.994,0.925,0.0807,0.0867,113.285,4Uj3FvCZK0wcxongg2Yxqi,spotify:track:4Uj3FvCZK0wcxongg2Yxqi,https://api.spotify.com/v1/tracks/4Uj3FvCZK0wcxongg2Yxqi,https://api.spotify.com/v1/audio-analysis/4Uj3FvCZK0wcxongg2Yxqi
0.459,0.0619,0,-19.626,0.0561,0.989,0.971,0.106,0.226,177.822,6zLoNA6o0D96BEf9KYO8ix,spotify:track:6zLoNA6o0D96BEf9KYO8ix,https://api.spotify.com/v1/tracks/6zLoNA6o0D96BEf9KYO8ix,https://api.spotify.com/v1/audio-analysis/6zLoNA6o0D96BEf9KYO8ix
0.555,0.0966,2,-18.37,0.0534,0.983,0.952,0.0931,0.356,99.63,1WKXs9BlXdmN9qsBw2Cgcn,spotify:track:1WKXs9BlXdmN9qsBw2Cgcn,https://api.spotify.com/v1/tracks/1WKXs9BlXdmN9qsBw2Cgcn,https://api.spotify.com/v1/audio-analysis/1WKXs9BlXdmN9qsBw2Cgcn
0.777,0.132,0,-21.319,0.792,0.895,0.393,0.1,0.0727,180.045,69ERyfw3OU9fzos2jOP1P7,spotify:track:69ERyfw3OU9fzos2jOP1P7,https://api.spotify.com/v1/tracks/69ERyfw3OU9fzos2jOP1P7,https://api.spotify.com/v1/audio-analysis/69ERyfw3OU9fzos2jOP1P7
0.226,0.103,5,-18.86,0.0345,0.952,0.718,0.296,0.074,78.446,63rGmBVHmNPqVZLOKGfvv5,spotify:track:63rGmBVHmNPqVZLOKGfvv5,https://api.spotify.com/v1/tracks/63rGmBVHmNPqVZLOKGfvv5,https://api.spotify.com/v1/audio-analysis/63rGmBVHmNPqVZLOKGfvv5
0.486,0.0124,2,-29.88,0.0599,0.992,0.807,0.0827,0.139,132.719,4jZ2PcDHZkE5fK0pOFjKYm,spotify:track:4jZ2PcDHZkE5fK0pOFjKYm,https://api.spotify.com/v1/tracks/4jZ2PcDHZkE5fK0pOFjKYm,https://api.spotify.com/v1/audio-analysis/4jZ2PcDHZkE5fK0pOFjKYm
0.275,0.267,6,-13.226,0.0338,0.965,0.89,0.112,0.0744,93.068,6LPIJOGd47u874BQCdlFf8,spotify:track:6LPIJOGd47u874BQCdlFf8,https://api.spotify.com/v1/tracks/6LPIJOGd47u874BQCdlFf8,https://api.spotify.com/v1/audio-analysis/6LPIJOGd47u874BQCdlFf8
0.346,0.172,6,-23.133,0.0389,0.939,0.844,0.307,0.159,125.014,116paDnIi3s1vyMfDqJNDo,spotify:track:116paDnIi3s1vyMfDqJNDo,https://api.spotify.com/v1/tracks/116paDnIi3s1vyMfDqJNDo,https://api.spotify.com/v1/audio-analysis/116paDnIi3s1vyMfDqJNDo
0.438,0.0405,7,-29.19,0.0651,0.993,0.919,0.0859,0.0999,139.856,4ciyZyvTp47f5uz7MRaXcx,spotify:track:4ciyZyvTp47f5uz7MRaXcx,https://api.spotify.com/v1/tracks/4ciyZyvTp47f5uz7MRaXcx,https://api.spotify.com/v1/audio-analysis/4ciyZyvTp47f5uz7MRaXcx
0.87,0.33,5,-12.329,0.0373,0.923,0.085,0.0949,0.542,114.885,3quI9fle27boUZXStQKtxy,spotify:track:3quI9fle27boUZXStQKtxy,https://api.spotify.com/v1/tracks/3quI9fle27boUZXStQKtxy,https://api.spotify.com/v1/audio-analysis/3quI9fle27boUZXStQKtxy
0.554,0.252,9,-12.813,0.087,0.988,0.925,0.115,0.65,87.81,5ASxwnS9Y1EwxBsA9qmOV8,spotify:track:5ASxwnS9Y1EwxBsA9qmOV8,https://api.spotify.com/v1/tracks/5ASxwnS9Y1EwxBsA9qmOV8,https://api.spotify.com/v1/audio-analysis/5ASxwnS9Y1EwxBsA9qmOV8
0.488,0.0746,5,-18.086,0.07,0.979,0.853,0.191,0.0899,98.286,2NYsYiH0hBTCnWhpCC07jE,spotify:track:2NYsYiH0hBTCnWhpCC07jE,https://api.spotify.com/v1/tracks/2NYsYiH0hBTCnWhpCC07jE,https://api.spotify.com/v1/audio-analysis/2NYsYiH0hBTCnWhpCC07jE
0.217,0.0629,2,-23.121,0.0377,0.835,0.933,0.142,0.0887,118.935,4YuIFX4L6rttK22R4mOpnC,spotify:track:4YuIFX4L6rttK22R4mOpnC,https://api.spotify.com/v1/tracks/4YuIFX4L6rttK22R4mOpnC,https://api.spotify.com/v1/audio-analysis/4YuIFX4L6rttK22R4mOpnC
0.538,0.0687,2,-17.993,0.0371,0.967,0.461,0.0854,0.132,103.808,2yuDexdINZo3jxbFHf5fLw,spotify:track:2yuDexdINZo3jxbFHf5fLw,https://api.spotify.com/v1/tracks/2yuDexdINZo3jxbFHf5fLw,https://api.spotify.com/v1/audio-analysis/2yuDexdINZo3jxbFHf5fLw
0.554,0.277,0,-9.96,0.0299,0.821,0.515,0.0625,0.193,114.633,3ysMtj2F84pH58c2qPobau,spotify:track:3ysMtj2F84pH58c2qPobau,https://api.spotify.com/v1/tracks/3ysMtj2F84pH58c2qPobau,https://api.spotify.com/v1/audio-analysis/3ysMtj2F84pH58c2qPobau
0.533,0.0979,9,-17.256,0.121,0.988,0.904,0.105,0.253,147.646,5YhGoTT86tq7qY17kUWrah,spotify:track:5YhGoTT86tq7qY17kUWrah,https://api.spotify.com/v1/tracks/5YhGoTT86tq7qY17kUWrah,https://api.spotify.com/v1/audio-analysis/5YhGoTT86tq7qY17kUWrah
0.671,0.147,9,-13.025,0.0383,0.921,0.0422,0.113,0.73,154.053,6o38ztCMVS0CrlfB0RSOjh,spotify:track:6o38ztCMVS0CrlfB0RSOjh,https://api.spotify.com/v1/tracks/6o38ztCMVS0CrlfB0RSOjh,https://api.spotify.com/v1/audio-analysis/6o38ztCMVS0CrlfB0RSOjh
0.349,0.306,7,-11.041,0.0341,0.783,0.00932,0.0843,0.18,80.011,1zZQCz81Mr1XiiQ7SkRanG,spotify:track:1zZQCz81Mr1XiiQ7SkRanG,https://api.spotify.com/v1/tracks/1zZQCz81Mr1XiiQ7SkRanG,https://api.spotify.com/v1/audio-analysis/1zZQCz81Mr1XiiQ7SkRanG
