Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0mel2N9Ws9r4yLQn5QE21Y,"2wY79sveU1sp5g7SokKOiI","Too Good At Goodbyes - Edit","Too Good At Goodbyes","Sam Smith",2017-09-08,201000,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,uk pop",0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,4
5uCax9HTNlzGybIStD3vDh,"4IWBUUAFIplrNtaOHcJPRM","Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211466,85,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,talent show,uk pop",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
6GmUVqe73u5YRfUUynZK6I,"0gadJ2b9A4SKsB1RFkBb66","Let Her Go","All the Little Lights","Passenger",2012-06-29,252733,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"folk-pop,neo mellow",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,4
1HNkqx9Ahdgi1Ixy2xkKkL,"6eUKZXaKkcviH0Ku9w2n3V","Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,84,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,uk pop",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
0fioLzGM8ngbD1w6fMmm45,"2wY79sveU1sp5g7SokKOiI","I'm Not The Only One","In The Lonely Hour","Sam Smith",2014-01-01,239316,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,uk pop",0.453,0.496,5,-5.785,1,0.0453,0.554,0.0000265,0.0772,0.501,80.994,4
4d3ZlYR3rBh27OyL0MI0Jf,"7n2wHs1TKAczGzO7Dd2rGr,3AVfmawzu83sp94QW7CEGm","Air","Handwritten","Shawn Mendes,Astrid S",2015-04-14,194146,44,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"canadian pop,dance pop,pop,viral pop,norwegian pop,tropical house",0.758,0.501,0,-7.051,1,0.0589,0.252,0,0.191,0.397,78.042,4
5Db9VIdDsN5yu3Eu7CT0i4,"2wY79sveU1sp5g7SokKOiI","Stay With Me","In The Lonely Hour","Sam Smith",2014-01-01,172723,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,uk pop",0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,4
6jR2raibXQNq0GQwkXyg59,"5XPRNCxTj3Pph1A6h4XTB6,7Hg9C2eoeFc7QDnkOKlLJ0","how could i forget","how could i forget","glexks,Forgiven",2023-02-24,124003,39,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-02-24T06:26:47Z,"drift phonk",0.129,0.263,8,-20.749,0,0.0592,0.915,0.846,0.111,0.0383,77.144,3
2dBwB667LHQkLhdYlwLUZK,"00FQb4jTyendYWaN8pK0wa","Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-11-12,265427,68,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"art pop,pop",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
4FpiEaFKllUZJmZAzALsY6,"05TvjXcgQveeF7wh2DBHvp","how i feel","how i feel","eli.",2023-01-20,215470,46,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-01-20T17:23:31Z,"emo rap,sad lo-fi",0.693,0.385,2,-11.188,1,0.0357,0.68,0,0.192,0.43,84.939,4
4pGqFOfzvfe6avb9kbZicC,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I'm Sorry...","The Neighbourhood",2012-08-07,240040,60,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"modern alternative rock,modern rock,pop,shimmer pop",0.695,0.615,7,-5.325,0,0.042,0.15,0.000212,0.0879,0.414,124.015,4
7b9WVKS9dt9OyRFAbGTP8P,"37tjt3cGt6FQPLu6IsorqP,3sPGMRr0onW8PFX5Jbf46s","Tonight","Tonight","Alex Martura,Defnee",2022-03-18,194754,46,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2022-03-18T14:46:52Z,"",0.868,0.7,7,-6.408,0,0.1,0.0933,0.00685,0.0815,0.458,121.988,4
