Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7juffy4WUcwE6NeboDmvXq,"2gClsBep1tt1rv1CN210SO,1yTwwVZPzT44dkQYwitq7E,5HG9Eg7Ik8ZuNtMyGYTxLG","Fauré: Dolly, Op. 56: I. Berceuse","Fauré: Berceuse from Dolly","Gabriel Fauré,Nicholas Angelich,Alexandre Tharaud",2023-04-14,134790,33,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"classical,post-romantic era,american classical piano,classical piano,french classical piano",0.492,0.0214,4,-27.414,1,0.0346,0.995,0.93,0.0689,0.167,76.072,4
6K5VFtxaaVBhfgWV1Zl22q,"4ytDz3A9nHcVMjEbdNSKzA","Dipemnogy","Thrive","RIOPY",2023-04-14,249986,26,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"neo-classical",0.644,0.0456,2,-19.521,1,0.0363,0.992,0.917,0.104,0.0969,100.179,4
01c6e1cNiyK26UI76sCAht,"5fNGQT58pOykJbZQVDx3R6","Nostalgia","Nostalgia","Matteo Myderwyk",2023-03-31,202000,45,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"",0.65,0.206,3,-24.684,0,0.0584,0.967,0.927,0.123,0.134,111.934,4
3YllRULgXmUdbjoU1snp9Q,"1ZNA8vzdCn3mKSUSPkCkRJ","Einaudi: Una mattina","Einaudi: I giorni","Dalal",2018-09-21,479048,35,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"",0.363,0.0345,9,-25.048,0,0.0695,0.994,0.921,0.0827,0.0364,120.179,4
5H5A2aykT84OBTshUEPk4u,"0P9g1ss8CfLwU62fzm8Ldf","Tears of Olof (Solo Piano Version)","Tears of Olof (Solo Piano Version)","Jacob Mühlrad",2023-04-07,171000,42,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"",0.322,0.0332,4,-27.986,0,0.049,0.994,0.935,0.0771,0.0991,77.37,4
2qNQbTeOisl3z7M9Qkn9vG,"3duTXsC49HoPt4f4EySDKf,3QFnDCL9APB7hCVnSb0a73","Howard: Casino","Howard: Casino","Luke Howard,Shani Diluka",2023-03-17,161306,47,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"australian ambient,compositional ambient,neo-classical,classical piano",0.198,0.00779,1,-31.761,0,0.0487,0.994,0.837,0.18,0.0317,94.489,4
4JJYsGLvU2FGA00J0s0hw3,"1ZNA8vzdCn3mKSUSPkCkRJ","Beving: Every Ending Is a New Beginning","Joep Beving: Every Ending Is a New Beginning","Dalal",2023-04-07,249806,39,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"",0.212,0.0278,0,-28.839,0,0.0434,0.98,0.891,0.116,0.0386,67.572,4
6liz8VM4BqkLq9SI3Ik2zi,"0P9g1ss8CfLwU62fzm8Ldf","A Nostalgic Mind (Solo Piano Version)","A Nostalgic Mind (Solo Piano Version)","Jacob Mühlrad",2023-03-17,206000,46,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"",0.294,0.00924,4,-25.959,0,0.0402,0.992,0.921,0.103,0.0486,66.129,3
0WzLfIUUhh6dpvHjKHXNzm,"1ZNA8vzdCn3mKSUSPkCkRJ","Richter: A Catalogue of Afternoons","Max Richter: A Catalogue of Afternoons","Dalal",2023-03-17,100374,45,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"",0.434,0.0611,4,-30.026,1,0.0521,0.996,0.775,0.0955,0.0424,72.353,3
31SFfgcrOi5VtaVAQE7qFl,"23Yv6j1axUmPPo5M6u6erO","Forgotten me","Ourselves, as we are","Carlos Cipa",2023-02-24,263013,53,spotify:user:klassieke_muziek,2023-04-14T08:51:21Z,"neo-classical",0.371,0.032,0,-38.494,1,0.033,0.952,0.924,0.119,0.0573,118.277,4
