Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.746,0.754,1,-6.684,0.0676,0.0152,0,0.0486,0.746,149.882,energ
0.628,0.593,8,-5.036,0.0323,0.093,1.65E-06,0.096,0.104,125.026,energ
0.62,0.805,5,-5.538,0.0417,0.00564,9.15E-05,0.285,0.586,122.062,energ
0.504,0.785,8,-4.802,0.104,0.0738,0,0.239,0.502,173.968,energ
0.56,0.872,3,-4.269,0.14,0.0239,6.98E-06,0.371,0.682,126.05,energ
0.468,0.779,9,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799,energ
0.527,0.835,6,-5.298,0.0433,0.0166,0,0.249,0.654,125.983,energ
0.572,0.797,0,-4.181,0.0497,0.0949,0,0.259,0.598,135.76,energ
0.866,0.813,11,-4.063,0.0554,0.38,0,0.0779,0.969,121.998,energ
0.461,0.834,2,-4.868,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,energ
0.691,0.602,1,-8.063,0.0497,0.0515,0,0.141,0.715,118.901,energ
0.776,0.875,4,-5.535,0.0575,0.0343,0,0.314,0.849,111.988,energ
0.691,0.795,1,-4.021,0.0355,0.000812,1.02E-06,0.156,0.876,133.971,energ
0.759,0.459,8,-5.187,0.0948,0.00323,0,0.0788,0.695,109.997,energ
0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,energ
0.783,0.58,7,-6.548,0.0408,0.0114,2.28E-06,0.108,0.66,120.021,energ
0.691,0.823,2,-4.197,0.0623,0.487,0,0.134,0.87,123.935,energ
0.545,0.675,6,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,energ
0.77,0.882,8,-4.792,0.0602,0.194,0,0.316,0.385,99.991,energ
0.624,0.876,9,-3.374,0.1,0.0735,0,0.327,0.781,99.943,energ
0.645,0.862,11,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,energ
0.637,0.69,1,-4.057,0.0405,0.00786,0,0.124,0.457,129.857,energ
0.621,0.82,10,-4.865,0.0367,0.332,0,0.104,0.452,144.905,energ
0.687,0.761,9,-4.582,0.0876,0.102,0,0.147,0.743,113.939,energ
0.742,0.713,1,-5.522,0.0303,0.0205,0,0.059,0.879,120.032,energ
0.638,0.832,8,-5.039,0.049,0.141,0,0.113,0.648,124.071,energ
0.654,0.787,4,-4.999,0.0502,0.00515,0,0.144,0.409,123.979,energ
0.663,0.857,2,-2.16,0.0544,0.0542,0,0.144,0.931,126.039,energ
0.647,0.8,7,-5.384,0.165,0.0647,0,0.334,0.942,160.078,energ
0.666,0.812,6,-4.07,0.0647,0.0597,0,0.0603,0.868,145.059,energ
0.807,0.893,11,-3.745,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,energ
0.72,0.763,9,-4.068,0.0523,0.406,0,0.18,0.742,101.965,energ
0.773,0.747,5,-4.061,0.0885,0.0242,8.99E-06,0.109,0.801,126.014,energ
0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,energ
0.596,0.854,7,-5.114,0.463,0.0169,0,0.124,0.152,120.274,energ
0.279,0.742,4,-6.46,0.0898,0.000185,0,0.593,0.328,189.868,energ
0.632,0.773,6,-4.856,0.0346,0.0623,0,0.0885,0.474,130.033,energ
0.677,0.802,8,-5.539,0.139,0.261,0,0.0705,0.539,109.918,energ
0.682,0.72,11,-8.173,0.0381,0.326,0,0.148,0.673,117.003,energ
0.776,0.808,11,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,energ
0.687,0.785,1,-4.65,0.0333,0.327,0,0.203,0.655,106.046,energ
0.559,0.82,5,-3.381,0.0591,0.00606,0,0.0958,0.428,126.091,energ
0.655,0.877,9,-5.656,0.0329,0.22,0,0.0785,0.958,144.877,energ
0.811,0.719,9,-6.553,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979,energ
