Track Name,Artist Name(s),Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Before You Go,Lewis Capaldi,0.459,0.575,3,-4.858,0.0573,0.604,0,0.0885,0.183,111.881
Be Alright,Dean Lewis,0.553,0.586,11,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
Let You Down,NF,0.659,0.716,5,-5.673,0.111,0.33,0,0.173,0.437,148.015
Wrong Direction,Hailee Steinfeld,0.378,0.388,10,-9.017,0.036,0.472,0,0.157,0.188,72.293
You Are The Reason,Calum Scott,0.363,0.233,10,-7.697,0.0299,0.908,0,0.134,0.246,171.767
i'd like to come too,eli.,0.484,0.131,0,-13.617,0.0453,0.77,0,0.0693,0.373,101.313
Bruises,Lewis Capaldi,0.736,0.308,4,-7.83,0.0677,0.946,0,0.186,0.361,111.202
Out Of Love,Alessia Cara,0.481,0.267,7,-9.249,0.0339,0.8,0,0.249,0.137,117.64
Years,Astrid S,0.664,0.285,9,-7.907,0.0342,0.855,0,0.0952,0.256,124.148
Let Go - Acoustic,Dean Lewis,0.547,0.232,10,-11.838,0.0462,0.912,0,0.074,0.467,77.42
Memories,Jacob Tillberg,0.57,0.671,7,-8.421,0.0452,0.703,0.000423,0.106,0.233,144.108
Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891
Train Wreck,James Arthur,0.311,0.485,6,-5.726,0.0365,0.701,0,0.0726,0.225,77.355
you broke me first,Tate McRae,0.667,0.373,4,-9.389,0.05,0.785,0,0.0906,0.0823,124.148
Sorry,Halsey,0.513,0.25,5,-9.376,0.0367,0.913,0,0.117,0.351,74.103
Glimpse of Us,Joji,0.44,0.317,8,-9.258,0.0531,0.891,0.00000478,0.141,0.268,169.914
Waves - Guitar Acoustic,Dean Lewis,0.412,0.285,11,-9.918,0.0444,0.935,0,0.11,0.377,151.739
idfc,blackbear,0.63,0.5,1,-8.755,0.0611,0.611,0.0000404,0.114,0.315,144.871
hostage,Billie Eilish,0.427,0.123,9,-15.228,0.0497,0.868,0.0000312,0.0732,0.0394,129.565
all my friends are fake,Tate McRae,0.711,0.382,11,-7.344,0.0428,0.67,0,0.11,0.516,104.988
One,Lewis Capaldi,0.708,0.339,9,-7.085,0.0409,0.834,0,0.128,0.512,117.995
drivers license,Olivia Rodrigo,0.585,0.436,10,-8.761,0.0601,0.721,0.0000131,0.105,0.132,143.874
5 Years,YNG Martyr,0.546,0.515,9,-7.006,0.0375,0.829,0.000323,0.0926,0.713,146.766
Chasing Cars,Snow Patrol,0.56,0.595,9,-4.53,0.0274,0.199,0.0000647,0.132,0.144,104.011
been there,eli.,0.664,0.728,6,-9.856,0.0772,0.0669,0,0.194,0.387,87.518
Time - Edit,NF,0.665,0.703,8,-3.885,0.07,0.128,0,0.115,0.257,97.968
Righteous,Juice WRLD,0.706,0.625,0,-7.426,0.0314,0.0417,0,0.129,0.225,142.948
how i feel,eli.,0.693,0.385,2,-11.188,0.0357,0.68,0,0.192,0.43,84.939
I'm Not The Only One,Sam Smith,0.677,0.485,5,-5.795,0.0361,0.529,0.0000204,0.0766,0.493,82.001
I Miss The Days,NF,0.719,0.768,11,-5.658,0.19,0.345,0,0.104,0.0979,137.887
Stackin' by the Plenty,Reyn Hartley,0.52,0.45,2,-10.626,0.0351,0.621,0,0.0814,0.131,118.093
