Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2xy57NLEmzuQQeBRORdaOq,"6IPvmWOcp3HZLwCTU3fzZ6","Kosandra - Remix","Kosandra","Maikkis",2020-04-09,178561,38,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:03:43Z,"indian edm",0.707,0.921,7,-3.323,1,0.0738,0.135,0,0.0371,0.547,99.994,4
1FpVJ7HpZInE2GvhVE2TwT,"47mIJdHORyRerp4os813jD,6yhD1KjhLxIETFF7vIRf8B","Legends Never Die","Legends Never Die","League of Legends,Against The Current",2017-09-15,235000,75,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:04:01Z,"speedrun,video game music,neon pop punk,pixie,pop punk",0.498,0.598,4,-6.638,0,0.0377,0.00786,0,0.111,0.0573,140.078,4
64p6ua7zpf66s62StC2QLv,"4cSYNpczcvTUpnPMFDLsIc,49CE2ffZ6Z3zeYSDauSKck,3aT2GOh9Iy2WJmDhE6PorP","Bad Boy (feat. Luana Kiara)","Bad Boy (feat. Luana Kiara)","Raaban,Tungevaag,Luana Kiara",2018-08-24,190673,67,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:04:11Z,"big room,dance pop,edm,electro house,nordic house,pop dance,tropical house",0.644,0.892,0,-1.1,0,0.0567,0.13,0.000113,0.0893,0.767,180.044,4
2qxmye6gAegTMjLKEBoR3d,"5IH6FPUwQTxPSXurCrcIov","Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,83,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:04:28Z,"alt z,electropop,pop",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
7qiZfU4dY1lWllzX7mPBI3,"6eUKZXaKkcviH0Ku9w2n3V","Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,85,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:04:38Z,"pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
09CtPGIpYB4BrO8qb1RGsF,"1uNFoZAHBGtllmzznpCI3s","Sorry","Purpose (Deluxe)","Justin Bieber",2015-11-13,200786,81,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:04:47Z,"canadian pop,pop",0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,4
4gvrJnKCKIPiacNsWVQwEU,"048LktY5zMnakWq7PTtFrz,7iTLGcddv1bOPirdYJjKVy,5fUXK5m3BNwoRgTyKq8tnz","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","love nwantiti (feat. Dj Yo! & AX'EL) [Remix]","CKay,Dj Yo!,AX'EL",2021-09-09,188368,77,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:05:16Z,"afro r&b",0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,3
6HGoVbCUr63SgU3TjxEVj6,"24BYRlsS8uIO4jA71mJ4Js","Satisfya","Satisfya","Imran Khan",2013-05-09,180056,67,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:05:39Z,"desi hip hop,desi pop,desi trap,modern bollywood,pakistani hip hop",0.726,0.652,1,-7.764,0,0.11,0.00451,0.0000332,0.226,0.803,163.879,4
4OgwXdylh75fHfwUzJTUqg,"5deLgmgAEgy8UHOfJ9Dj8w,3v6Ji4uoWtKRkhuDUaxi9n","Rockstar","Rockstar","Ilkay Sencan,Dynoro",2019-06-21,212280,68,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:05:44Z,"turkish deep house,turkish edm,covertronica,dance pop,edm,electro house,pop dance,tropical house",0.771,0.826,11,-3.978,1,0.0604,0.142,0.03,0.145,0.185,100.012,4
11IAzj9706fIKBVCJyMNNt,"0mJDQBWytBhOh5JB1DOQ1c,7M3xY5iHSzEtoL3FpqOD75","Illegal Weapon 2.0 (From Street Dancer 3D)","Hits Of Tanishk Bagchi","Jasmine Sandlas,Garry Sandhu",2020-03-17,188606,52,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:05:56Z,"desi pop,punjabi pop",0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,4
58f4twRnbZOOVUhMUpplJ4,"6LEG9Ld1aLImEFEVHdWNSB,4vvW590Gq8dNWsP5BM9FkS,5DHi2MeoRgAwPE0A0qwRMl,6aQfrWHwAcuY8IYItbChZh","Brown Munde","Brown Munde","AP Dhillon,Gminxr,Gurinder Gill,Shinda Kahlon",2020-09-18,254400,72,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:06:02Z,"punjabi hip hop,punjabi pop",0.854,0.611,8,-6.26,0,0.0864,0.223,0,0.119,0.417,100.024,4
29m79w9xPMH4YCD6r8JSmV,"6LEG9Ld1aLImEFEVHdWNSB,5DHi2MeoRgAwPE0A0qwRMl,0OS0NZnK7TGIAWx8MkWNFN","Excuses","Excuses","AP Dhillon,Gurinder Gill,Intense",2020-07-24,176232,78,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-21T18:06:08Z,"punjabi hip hop,punjabi pop,desi hip hop,desi pop",0.837,0.717,5,-7.749,0,0.0822,0.0842,0,0.149,0.494,94.984,4
4r7s2KtAK8zNsQPm4XUg2E,"1jhApR7DwFXZNEXSy6Cq3E","Izhaar","Izhaar","Gagandeep Thamber",2021-11-13,244186,49,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-22T06:04:46Z,"punjabi pop",0.569,0.691,0,-3.936,0,0.207,0.526,0,0.209,0.494,76.54,4
5PjdY0CKGZdEuoNab3yDmX,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","F*CK LOVE 3: OVER YOU","The Kid LAROI,Justin Bieber",2021-07-23,141805,63,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-22T06:06:53Z,"australian hip hop,pop,canadian pop",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
4AoQVhME8Ko6LNm4lV2wwQ,"0sSxphmGskGCKlwB9xa6WU,4reUTWYBJ5qo98SW1sXMGv,2MMPzBpMeCZVPRnV5mddc3","Hookah Bar","Khiladi 786","Himesh Reshammiya,Vineet Singh,Aaman Trikha",2012-10-30,254351,65,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-22T06:08:10Z,"desi pop,filmi,modern bollywood",0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,4
0EH7sgeiFqDa3eS7ieW2zs,"0z4gvV4rjIZ9wHck67ucSV,35jsUTwBj5cW9GuNB7Xp61","Chammak Challo","Ra-One","Akon,Hamsika Iyer",2011-09-16,227091,70,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-22T06:08:17Z,"dance pop,modern bollywood",0.742,0.879,0,-4.274,0,0.0328,0.0696,0.00000717,0.0981,0.936,133.946,4
40NKYSkaTC4F62QbIVJ8S6,"3nmaO18tcMzfrrR7sdJHnH,6oHCxanXnGoT4ntOtXwsWX","Never Never (feat. Indiiana)","Never Never (feat. Indiiana)","Drenchill,Indiiana",2019-08-23,167001,58,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-23T20:09:37Z,"covertronica,pop dance,pop edm,tropical house",0.741,0.854,9,-5.392,1,0.2,0.0357,0.00205,0.21,0.231,125.991,4
1DtuhAtLhq7oViHVKEtGTu,"06MWXAofHwT2tS9EyF1TpJ","Tees Maar Khan","Tees Maar Khan","Kptaan",2021-06-25,152992,48,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-23T20:12:45Z,"punjabi pop",0.858,0.624,8,-9.752,1,0.279,0.212,0,0.72,0.631,99.923,4
1FdbP9ZAcqQnOcda55boaL,"6wmETiZFS8CviwUTaeoVgf","Billian Billian","Billian Billian","Guri",2019-02-22,177600,57,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-25T11:06:22Z,"desi pop,doujin,punjabi pop",0.708,0.893,8,-2.002,0,0.0549,0.0188,0.0000547,0.471,0.753,100.031,4
4hyVrAsoKKjxAvQjPRt0ai,"2ISiyx4DLCMAMBCvPesCoq","Love Your Voice","Список твоих мыслей","JONY",2019-06-21,150329,69,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T17:59:56Z,"russian dance,russian pop",0.608,0.83,9,-5.396,0,0.0956,0.597,0.0000034,0.118,0.211,91.088,4
7xlrdBdz8TGSo0COvLHymc,"7EIEvxpeoLo0qpHFpSrxOr","Wahran","Wahran","RANDALL",2019-03-15,231114,60,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:00:48Z,"arab electronic",0.517,0.753,0,-7.928,0,0.0515,0.0228,0.278,0.105,0.269,93.917,4
41btOpCqdHf5lBd4KAOcfB,"3KW4FoYGtukfoyZK8ifDex","Дикая львица","Дикая львица","ALEX&RUS",2019-07-03,164769,57,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:00:58Z,"",0.514,0.843,9,-4.98,0,0.303,0.363,0.0038,0.13,0.693,194.39,3
32BqOOkyjc1xTzTm5y0Dnv,"5YLmoInNaFjE42I4Gnd3rb","Polozhenie","Polozhenie","Zedline",2021-06-11,129381,0,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:01:36Z,"sad lo-fi",0.742,0.537,10,-8.297,0,0.0467,0.521,0.000577,0.28,0.298,106.007,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,80,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:03:07Z,"dance pop,pop rap,deep talent show",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
71hml6k2V70BVvW8uVmYuL,"6xpIUbO9rXfsQf6x5lkyYg","Babel - Original Mix","Babel - Original Mix","чачкалица",1991-06-05,128498,0,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:04:41Z,"sped up",0.365,0.467,7,-8.944,0,0.373,0.824,0.0618,0.196,0.314,181.434,3
4DpNNXFMMxQEKl7r0ykkWA,"63yrD80RY3RNEM2YDpUpO8","Play Date","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,179867,77,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:06:38Z,"alt z,electropop,pop",0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,4
3h3xeg5OGNYVM0U9rOAc6j,"14PimM6ohO2gYftuwTam9V","Touch It","Touch It","KiDi",2021-05-05,165000,55,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:07:13Z,"azontobeats,ghanaian pop",0.893,0.757,10,-2.843,1,0.0738,0.112,0.0634,0.107,0.681,95.018,4
2fayqxjqnIPyf9LaKjNjUE,"1qVHDR3icC0cD02ofnzEA1,1793RNBnWXkl6iRbT196Nk","Touch It","Touch It","Denis First,KDDK",2021-07-16,209594,43,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:08:37Z,"russian edm",0.858,0.843,11,-6.81,0,0.11,0.036,0.00014,0.173,0.323,102.019,4
1NpNY2V9pyCZW2xPbkcQaM,"1R2iRWvuwwokMKGHirNGTD,4kh4BuGVvUThb2WN0AUncV","Yalan","Yalan","Serhat Durmus,Ecem Telli",2017-06-15,201775,50,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:09:36Z,"arab trap,bass trap,turkish trap,viral rap",0.58,0.525,3,-10.873,0,0.0363,0.00695,0.0509,0.0759,0.0925,112.991,4
2nLeVfLE8t3hzHhXkZ6Ez2,"1R2iRWvuwwokMKGHirNGTD","La Câlin","La Câlin","Serhat Durmus",2017-04-10,172008,63,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:10:58Z,"arab trap,bass trap,turkish trap,viral rap",0.598,0.439,2,-10.987,1,0.0429,0.0879,0.868,0.103,0.0673,147.84,4
4KGq63QyNHWz44M5S6PWGo,"0a3zDmrvmZcORfPeONPvfL","это ли счастье?","это ли счастье?","Rauf & Faik",2019-04-19,204489,63,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:11:05Z,"russian pop",0.683,0.76,10,-5.033,0,0.0475,0.578,0.000139,0.14,0.445,154.06,4
32Mh7kOCWmNTZgre0cGvCV,"1R2iRWvuwwokMKGHirNGTD,32Wdf3LOdSMeo8ituCMxqY","Hislerim","Hislerim","Serhat Durmus,Zerrin",2018-08-10,214204,66,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:12:42Z,"arab trap,bass trap,turkish trap,viral rap",0.324,0.526,1,-8.543,0,0.099,0.327,0.00206,0.344,0.039,81.027,4
18A7ha5BitZjmdHTCwXFbU,"7gXb99Sf9nNmpNYeAgIQFG","Cradles","Cradles","Sub Urban",2019-01-04,209829,6,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:13:12Z,"modern indie pop,viral rap",0.581,0.585,1,-1.87,1,0.369,0.27,0.0000648,0.179,0.63,67.443,3
7igyhR9e6HZOuCutqfUKxR,"4gCNcMgO4KtqOPSyC8aH0g","Kacha Badam","Kacha Badam","Nazmu Reachat",2022-01-14,183484,0,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:15:10Z,"",0.775,0.809,11,-7.952,0,0.0832,0.0798,0.0000179,0.165,0.902,79.997,4
48QmG1dfvMuYLxMPt7KSRA,"3Isy6kedDrgPYoTS1dazA9,6M2wZ9GZgrQXHCFfjv46we","No Lie","Mad Love The Prequel","Sean Paul,Dua Lipa",2018-06-29,221176,80,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:20:18Z,"dance pop,dancehall,pop rap,pop,uk pop",0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,0.463,102.04,4
2HbrsAxOZfG0s1xCQuk6nB,"4YRxDV8wJFPHPTeXepOstw,6jf2eKjiPT6P18RbOSLzf0","Desh Mere (From Bhuj The Pride Of India)","Desh Mere (From Bhuj The Pride Of India)","Arijit Singh,Arko",2021-08-06,203186,57,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:25:21Z,"desi pop,filmi,modern bollywood",0.406,0.504,3,-7.444,1,0.0646,0.537,0,0.109,0.495,77.796,4
0YammaEkYSeo9vQYZ1OwS6,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb,1vyhD5VmyZ7KMfW5gqLgo5","Say My Name","7","David Guetta,Bebe Rexha,J Balvin",2018-09-14,198946,70,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:26:26Z,"big room,dance pop,edm,pop,pop dance,post-teen pop,reggaeton,reggaeton colombiano,urbano latino",0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,4
27SdWb2rFzO6GWiYDBTD9j,"5WUlDfRSoLAfcVSX1WnrxN","Cheap Thrills","This Is Acting","Sia",2016-01-29,211666,77,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:26:31Z,"australian dance,australian pop,dance pop,pop",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4
2J2Z1SkXYghSajLibnQHOa,"5WUlDfRSoLAfcVSX1WnrxN","Unstoppable","This Is Acting","Sia",2016-01-29,217746,80,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-26T18:26:48Z,"australian dance,australian pop,dance pop,pop",0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4
4NyKTeLnNmWuwrYYUkak6d,"65vX07QbbDkq0m0WSJvSmq,6Bc0kRRn7KUriyBrtzSV6z,3zBJTgsnovcVTircnCf9tr","Gutt Ch Paranda","Gutt Ch Paranda","Preet Sandhu,Sobha,Deep Sandhu",2021-11-22,229894,45,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-27T15:20:22Z,"telugu worship",0.749,0.909,6,-2.979,0,0.332,0.136,0,0.0863,0.671,190.061,4
5nsET7aVWXu017lsQjRFCV,"0LyfQWJT6nXafLPZqxe9Of","","","",0000,0,0,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-28T16:25:47Z,"",0.706,0.527,5,-8.706,0,0.0269,0.139,0.000169,0.112,0.144,103.008,4
4kvFuANPdXabWFPZiWrdjG,"1tU9CEhSLo7ZSCtyLiXVfV,2rLOa8UaNNhIQnCnOKcCpp","Naino Ki Jo Baat","Mera Sanam","Altaaf Sayyed,Chandra-Surya",2018-02-24,171525,0,spotify:user:31nm247xuip2pdsdsmd3256kmxci,2022-01-30T12:20:59Z,"modern bollywood",0.484,0.304,7,-8.088,0,0.026,0.815,0,0.302,0.407,90.937,4
