Track Name,Artist Name(s),Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk,Lil Baby,Polo G",0.835,0.482,8,-8.607,0.367,0.262,0,0.0991,0.448,143.015
5% TINT,Travis Scott,0.712,0.481,4,-5.415,0.0487,0.173,0,0.241,0.062,140
Anyway (feat. 2 Chainz & Gucci Mane),"Lil Baby,2 Chainz,Gucci Mane",0.874,0.552,2,-5.997,0.383,0.0555,0,0.279,0.231,140.098
Black Jesus,Lil Yachty,0.843,0.543,8,-8.546,0.304,0.233,0,0.214,0.694,132.021
Both (feat. Drake),"Gucci Mane,Drake",0.85,0.405,7,-7.509,0.225,0.119,0.000118,0.0707,0.344,139.976
can't leave without it,21 Savage,0.872,0.591,6,-6.952,0.359,0.111,0,0.144,0.696,131.982
Cardigan,Don Toliver,0.747,0.497,4,-6.542,0.0401,0.248,0,0.138,0.0663,142.046
Car Sick (feat. NAV & Metro Boomin),"Gunna,NAV,Metro Boomin",0.859,0.574,7,-6.16,0.399,0.0989,0,0.0918,0.405,149.995
Commercial (feat. Lil Uzi Vert),"Lil Baby,Lil Uzi Vert",0.892,0.486,11,-8.637,0.384,0.048,0,0.146,0.535,120.998
Creature (feat. Swae Lee),"Pop Smoke,Swae Lee",0.794,0.717,7,-5.73,0.251,0.0511,0,0.195,0.372,141.881
Crush A Lot,Lil Baby,0.92,0.458,5,-5.643,0.315,0.0171,0,0.107,0.403,132.992
Demons and Angels (feat. Juice WRLD),"A Boogie Wit da Hoodie,Juice WRLD",0.81,0.55,2,-7.46,0.17,0.0114,0.00000569,0.107,0.183,76.503
Digits,Young Thug,0.769,0.632,10,-4.228,0.0537,0.0325,0,0.116,0.294,131.932
Diva,Don Toliver,0.757,0.655,6,-7.118,0.15,0.0759,0,0.0743,0.897,153.912
Dyin Breed,Polo G,0.77,0.599,2,-8.663,0.661,0.0131,0,0.0711,0.427,159.966
Effortless,Polo G,0.792,0.445,10,-7.871,0.544,0.00256,0,0.108,0.399,157.153
Every Season,Roddy Ricch,0.936,0.704,5,-5.47,0.457,0.0632,0,0.104,0.566,130.022
Faking It (feat. Kehlani & Lil Yachty),"Calvin Harris,Kehlani,Lil Yachty,Funk Wav",0.776,0.589,9,-4.543,0.115,0.319,0,0.0715,0.668,120.034
Forever (feat. Lil Wayne),"Lil Baby,Lil Wayne",0.619,0.668,4,-2.115,0.271,0.0799,0,0.122,0.147,76.514
Freestyle,Lil Baby,0.877,0.517,2,-5.426,0.0706,0.217,0,0.143,0.255,119.996
GIMMICK,Gunna,0.938,0.546,2,-7.037,0.138,0.00353,0,0.102,0.58,111.971
Global,Lil Baby,0.672,0.565,1,-6.504,0.441,0.106,0,0.113,0.313,163.827
Glock In My Lap,"21 Savage,Metro Boomin",0.847,0.733,10,-6.439,0.16,0.00574,0.0000104,0.151,0.202,130.029
Go,"Huncho Jack,Travis Scott,Quavo",0.755,0.898,5,-0.777,0.042,0.32,0.0000493,0.309,0.576,135.057
Go Stupid,"Polo G,Stunna 4 Vegas,NLE Choppa,Mike WiLL Made-It",0.92,0.833,1,-3.18,0.253,0.0277,0,0.0596,0.645,141.034
Headlines,Drake,0.636,0.566,6,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894
"Hold On, We're Going Home","Drake,Majid Jordan",0.776,0.413,6,-7.438,0.0952,0.00415,0.0000268,0.0724,0.287,100.003
How U Feel,"Huncho Jack,Travis Scott,Quavo",0.86,0.799,2,-2.446,0.149,0.0532,0.0000254,0.369,0.491,140.005
I Am (Lil Baby & Gunna),"Lil Baby,Gunna",0.822,0.461,1,-6.506,0.449,0.328,0,0.122,0.268,130.003
I Did It,A Boogie Wit da Hoodie,0.718,0.454,8,-9.012,0.127,0.153,0.000046,0.116,0.196,89.483
"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne,Big Sean,Lil Baby",0.804,0.528,1,-3.231,0.378,0.125,0,0.41,0.321,138.005
I Know,"Big Sean,Jhené Aiko",0.733,0.334,1,-11.314,0.0811,0.327,0,0.116,0.267,119.935
It's A Slime (feat. Lil Uzi Vert),"Young Thug,Young Stoner Life,Lil Uzi Vert",0.863,0.464,1,-10.559,0.346,0.00449,0,0.0938,0.566,75.5
It Takes Time,Trippie Redd,0.845,0.304,10,-16.441,0.195,0.371,0,0.112,0.413,90.01
JUMP (feat. YoungBoy Never Broke Again),"DaBaby,YoungBoy Never Broke Again",0.896,0.72,0,-6.262,0.355,0.169,0,0.252,0.966,140.1
Jumpman,"Drake,Future",0.852,0.553,1,-7.286,0.187,0.0559,0,0.332,0.656,142.079
Knocked Off,YoungBoy Never Broke Again,0.752,0.653,6,-4.607,0.293,0.0647,0,0.125,0.569,165.046
Life Goes On,"Lil Baby,Gunna,Lil Uzi Vert",0.716,0.541,1,-7.909,0.149,0.0021,0,0.115,0.387,139.978
Light It Up,Young Thug,0.953,0.515,10,-8.546,0.0846,0.00389,0,0.11,0.351,138.039
Look Alive,Rae Sremmurd,0.786,0.583,0,-7.415,0.0393,0.0552,0.00000184,0.326,0.229,120.024
