Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ZLrDPgR7mvuTco3rQK8Pk,"72nLe76yBFSlP6VBzME358,6mU8ucezzms5I2kNH6HNlu,20gsENnposVs2I4rQ5kvrf","Way Back Home (feat. Conor Maynard) - Sam Feldt Edit","Way Back Home (feat. Conor Maynard) [Sam Feldt Edit]","SHAUN,Conor Maynard,Sam Feldt",2018-12-21,192452,70,spotify:user:,2023-03-09T23:00:00Z,"k-pop,dance pop,pop,post-teen pop,uk pop,edm,electro house,pop dance,pop edm,tropical house",0.737,0.747,10,-4.818,1,0.0323,0.269,0,0.219,0.447,105.943,4
78nplE9X2ZGvQh3TKgvldE,"4IWBUUAFIplrNtaOHcJPRM,1zNqDE7qDGCsyzJwohVaoX","Rewrite The Stars (with James Arthur & Anne-Marie)","The Greatest Showman: Reimagined","James Arthur,Anne-Marie",2018-11-16,218293,65,spotify:user:,2023-03-09T23:00:00Z,"pop,talent show,uk pop,dance pop,pop dance,post-teen pop,tropical house",0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
2BgEsaKNfHUdlh97KmvFyo,"1zNqDE7qDGCsyzJwohVaoX","2002","Speak Your Mind (Deluxe)","Anne-Marie",2018-04-27,186986,80,spotify:user:,2023-03-09T23:00:00Z,"dance pop,pop,pop dance,post-teen pop,tropical house,uk pop",0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,4
1XuushYZmiAuKpPYTj7p3v,"7qmpXeNz2ojlMl2EEfkeLs","Shut Me Up","Shut Me Up","Nicky Youre",2023-02-24,141218,69,spotify:user:,2023-03-09T23:00:00Z,"pop",0.623,0.641,10,-3.987,1,0.0462,0.0841,0.00000109,0.06,0.735,185.888,4
6VrLYoQKdhu1Jruei06t65,"7gAppWoH7pcYmphCVTXkzs","Somebody To You","Meet The Vamps","The Vamps",2014-01-01,185097,74,spotify:user:,2023-03-09T23:00:00Z,"boy band,dance pop,pop,post-teen pop",0.526,0.818,3,-5.952,1,0.0358,0.0587,0,0.333,0.896,171.96,4
2Rk4JlNc2TPmZe2af99d45,"06HL4z0CvFAxyc27GXpf02,6eYFryfcEu3QSq59D62wZQ,20JZFwl6HVl6yg8a4H3ZqK","ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift,Brendon Urie,Panic! At The Disco",2019-08-23,193000,75,spotify:user:,2023-03-09T23:00:00Z,"pop,modern rock",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
3UZDl7g2r84o1b5marUjfK,"6jEiUoyyJNPHzSR0Nib6HX","My Stupid Heart","My Stupid Heart","Walk Off the Earth",2023-01-27,160866,71,spotify:user:,2023-03-09T23:00:00Z,"canadian rock,pop rock",0.745,0.681,7,-7.91,1,0.0361,0.0696,0,0.164,0.613,115,4
3FeVmId7tL5YN8B7R3imoM,"4gzpq5DPGxSnKTe4SA8HAU,3Nrfpe0tUJi4K4DXYWgMUX","My Universe","My Universe","Coldplay,BTS",2021-09-24,228000,82,spotify:user:,2023-03-09T23:00:00Z,"permanent wave,pop,k-pop,k-pop boy group",0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,4
0OJN2A3Qyvd7pwSF0AIteC,"5jAMCwdNHWr7JThxtMuEyy,7eCmccnRwPmRnWPw61x6jM","Keep You Mine","Keep You Mine","NOTD,shy martin",2019-08-02,174760,65,spotify:user:,2023-03-09T23:00:00Z,"alt z,dance pop,edm,electro house,electropop,pop,pop dance,pop edm,post-teen pop,tropical house,social media pop,swedish electropop",0.81,0.788,10,-3.663,1,0.0447,0.267,0.000172,0.196,0.845,135.991,4
69ZzhvHnSSnzMO8SMYEJWb,"6JL8zeS1NmiOftqZTRgdTz","Mother","Takin' It Back (Deluxe)","Meghan Trainor",2023-03-10,147481,77,spotify:user:,2023-03-09T23:00:00Z,"dance pop,hip pop,pop",0.751,0.661,9,-6.131,1,0.0871,0.124,0,0.456,0.761,120.052,4
