Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6xGruZOHLs39ZbVccQTuPZ,"3MZsBdqDrRTJihTHQrO6Dq","Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,85,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"viral pop",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
2gMXnyrvIjhVBUZwvLZDMP,"4GNC7GD6oZMSxPGyXy4MNB","Before You Go","Divinely Uninspired To A Hellish Extent (Extended Edition)","Lewis Capaldi",2019-11-22,215106,83,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop,uk pop",0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4
2KnLkZ3z7PO3kgVGHGqDpD,"7n2wHs1TKAczGzO7Dd2rGr","It'll Be Okay","It'll Be Okay","Shawn Mendes",2021-12-01,222800,76,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"canadian pop,dance pop,pop,viral pop",0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,4
5CZ40GBx1sQ9agT82CLQCT,"1McMsnEElThX1knmY4oliG","traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,84,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
0BiqmkasE5FdrChwKfVp8X,"06HL4z0CvFAxyc27GXpf02","Bigger Than The Whole Sky","Midnights (3am Edition)","Taylor Swift",2022-10-22,218502,75,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop",0.422,0.235,6,-12.379,1,0.0568,0.826,0.00648,0.115,0.068,165.71,4
5hnGrTBaEsdukpDF6aZg8a,"3QSQFmccmX81fWCUSPTS7y","How Do I Say Goodbye","How Do I Say Goodbye","Dean Lewis",2022-08-31,163603,81,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"australian pop,pop",0.4,0.641,8,-6.303,1,0.0674,0.214,0,0.0656,0.393,81.552,4
3MnewZrZDqej6thgEx3OB1,"5YGY8feqx7naU7z4HrwZM6","Flowers (Demo)","Endless Summer Vacation","Miley Cyrus",2023-03-10,210826,72,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop",0.672,0.159,9,-8.76,0,0.0343,0.962,0.0000183,0.106,0.117,113.218,4
5kkSbXjKeAxmDllVqAjDq6,"1ZwhhTSUPr7EBZHd1GjOT7","whore","whore","mehro",2022-11-11,163384,65,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"gen z singer-songwriter",0.766,0.265,7,-12.35,1,0.0315,0.904,0.0492,0.0899,0.369,136.063,4
135Lf4Q0CzlMNfOxbEUsLH,"22wbnEMDvgVIAGdFeek6ET","GHOST TOWN","GHOST TOWN","Benson Boone",2021-10-15,193733,76,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop",0.391,0.335,0,-10.064,1,0.0763,0.389,0,0.102,0.116,174.185,3
5S9Zs5g9lTWnLIboN1pdlU,"79AyR6ATpj2LTPxfb6FX50","Fingers Crossed","Fingers Crossed","Lauren Spencer Smith",2022-01-05,175344,1,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"alt z,gen z singer-songwriter,pop",0.603,0.473,5,-7.23,1,0.0511,0.616,0,0.31,0.446,109.494,4
6uvh0In7u1Xn4HgxOfAn8O,"6KImCVD70vtIoJWnq6nGn3","Matilda","Harry's House","Harry Styles",2022-05-20,245964,81,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
4VtRHZ4tBDHaWltVAytlLY,"6WFDpw4u23uSpon4BHvFRn","go","go","Cat Burns",2020-07-31,215000,72,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"",0.663,0.251,6,-9.87,0,0.0435,0.88,0,0.0932,0.528,90.272,4
1is8gU4RVcN4J8xItxWoOY,"7okSU80WTrn4LXlyXYbX3P","I GUESS I'M IN LOVE","I GUESS I'M IN LOVE","Clinton Kane",2021-08-20,204093,74,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"alt z,gen z singer-songwriter,pop",0.422,0.34,0,-6.577,1,0.0351,0.877,0.0000177,0.149,0.223,77.213,4
16axxBqfSvis8mjhrLHWeH,"2wY79sveU1sp5g7SokKOiI,6eUKZXaKkcviH0Ku9w2n3V","Who We Love (feat. Ed Sheeran)","Gloria","Sam Smith,Ed Sheeran",2023-01-27,162390,75,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"pop,uk pop",0.568,0.289,11,-8.973,1,0.0395,0.858,0,0.0943,0.338,140.122,4
3S8jK1mGzQi24ilFb45DAZ,"1uNFoZAHBGtllmzznpCI3s,5CiGnKThu5ctn9pBxv7DGa","Lonely (with benny blanco)","Justice","Justin Bieber,benny blanco",2021-03-19,149189,71,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"canadian pop,pop,dance pop,edm,electropop,pop rap",0.619,0.241,11,-7.102,0,0.046,0.9,0,0.116,0.0719,79.461,4
46IZ0fSY2mpAiktS3KOqds,"4dpARuHxo51G3z768sgnrY","Easy On Me","30","Adele",2021-11-19,224694,81,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"british soul,pop,pop soul,uk pop",0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4
4bYwK4mvWubnAkCextxH2d,"4tuJ0bMpJh08umKkEXKUI5","Where do we go now?","Where do we go now?","Gracie Abrams",2023-01-13,243599,65,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"alt z,pop",0.612,0.691,10,-10.67,1,0.0454,0.419,0.0242,0.145,0.632,151.029,4
1ujxjsoNvh4XgS2fUNwkZ2,"56ZTgzPBDge0OvCGgMO3OY","Space Song","Depression Cherry","Beach House",2015-08-28,320466,74,spotify:user:yj9ghsz7fmkg4nu9lkx02wute,2023-03-19T20:28:18Z,"baltimore indie,dream pop,dreamo,modern dream pop",0.509,0.79,0,-7.105,0,0.0293,0.218,0.125,0.144,0.625,147.073,4
